lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,613898,10:13.9,0,102.68140411376953,0.12156862765550613,0,4,4640,0.5970171689987183,2937.481934,-2.174996614,-2887.154541,right start,,1,614828,10:14.8,0,102.17801666259766,0.12156862765550613,0,4,4616,-5.801374912,2914.434814453125,-2.156921625,-2874.169678,end
1,620245,10:20.2,0,100.93634796142578,0.16078431904315948,0,4,4568,-2.748273373,2787.795166015625,-1.953460693,-2789.79248,left start,,1,622676,10:22.7,0,105.9215316772461,0.30980393290519714,0,4,4829.329102,0.404785156,2731.428223,-1.886150956,-2750.132568,end
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1250052,20:50.1,0,113.71226501464844,0,0,5,4011.088623046875,-9.281536102,5092.368652,8.035273551940918,-4311.20459,left start,,1,1250803,20:50.8,0,112.59613800048828,0,0,5,3972.985352,8.979547500610352,5072.949219,7.416618824005127,-4297.808594,end Curve
1,1257083,20:57.1,0,107.85298919677734,0.12156862765550613,0,5,3814,-3.16871953,4910.614258,4.810173511505127,-4196.86084,right start,,1,1258495,20:58.5,0,107.32201385498047,0.1568627506494522,0,5,3798,-0.629882813,4874.42041,4.7579193115234375,-4175.182129,end
1,1264484,21:04.5,0,111.52128601074219,0,0,5,3932.907470703125,-2.866441965,4718.57373,4.782488822937012,-4071.464844,left start,,1,1265234,21:05.2,0,109.72645568847656,0,0,5,3872.937744140625,15.776570320129395,4700.503906,4.848630905151367,-4057.162598,end
1,1276606,21:16.6,0,119.84331512451172,0,0,5,4224,-6.497364044,4389.907715,5.256977558135986,-3851.263916,right start,,1,1278058,21:18.1,0,119.65814971923828,0.32549020648002625,0,5,4256,-2.453757763,4349.005371,5.309947967529297,-3826.380371,end
1,1285032,21:25.0,0,134.37002563476562,0,0,5,4732,-2.392687559,4132.987793,5.416384696960449,-3682.750488,left start,,1,1285811,21:25.8,0,132.1567383,0,0,5,4656,6.9296875,4110.077148,5.401614189147949,-3665.258301,end
1,1306005,21:46.0,0,115.76836395263672,0.11764705926179886,0,5,4091.316162109375,2.4266974925994873,3519.937255859375,12.051175117492676,-3273.606689,right start,,1,1307489,21:47.5,0,115.5052261352539,0.12156862765550613,0,5,4084,-7.251390457,3479.154541015625,11.203003883361816,-3248.967773,end
1,1311790,21:51.8,0,116.4453125,0.13333334028720856,0,5,4116,3.7037606239318848,3363.939697265625,8.291916847229004,-3172.223145,left start,,1,1313288,21:53.3,0,116.9534683227539,0.15751804411411285,0,5,4136,-1.019853115,3324.541748046875,7.246158123016357,-3143.849609,end
1,1329152,22:09.2,0,119.46018981933594,0.031372551,0,5,4212,-0.835840344,2864.063232421875,-2.100213051,-2838.415771,right start,,1,1329880,22:09.9,0,117.91583251953125,0.050980393,0,5,4160,-5.935595512,2843.08252,-2.041181564,-2826.739746,end
1,1334322,22:14.3,0,119.19757843017578,0.20392157137393951,0,5,4224,0.3867962062358856,2722.159423828125,-1.846652389,-2746.164063,left start,,1,1335152,22:15.2,0,119.8368148803711,0.20392157137393951,0,5,4244,3.4543251991271973,2700.263672,-1.836060405,-2729.419922,end SlightCurve
1,1338104,22:18.1,0,121.94536590576172,0.20000000298023224,0,5,4318.240234,-2.909468412,2618.667236328125,-1.619534016,-2672.9104,right start,,1,1338986,22:19.0,0,122.48143005371094,0.20392157137393951,0,5,4337.525391,-7.55859375,2593.668701171875,-1.513248205,-2656.388672,end SlightCurve
1,1341285,22:21.3,0,122.3335189819336,0,0,5,4309.36377,-7.15234375,2532.475098,-1.275916576,-2607.176025,left start,,1,1342387,22:22.4,0,119.40225219726562,0,0,5,4211.710938,1.889648438,2505.491699,-1.169430017,-2581.9021,end SlightCurve
1,1346593,22:26.6,0,109.56568908691406,0,0,5,3865.062012,-4.8125,2405.316650390625,-0.965286195,-2493.394531,left start,,1,1347508,22:27.5,0,107.57400512695312,0,0,5,3796,6.014337539672852,2385.664306640625,-0.971714258,-2474.017334,end
1,1352558,22:32.6,0,113.68386840820312,0.3529411852359772,0,5,4056.531738,6.752326011657715,2272.678223,-0.964588523,-2376.802734,right start,,1,1353549,22:33.5,0,119.28619384765625,0.3529411852359772,0,5,4244.931641,-3.722131014,2247.135254,-1.375819564,-2357.407227,end
1,1356593,22:36.6,0,119.99462127685547,0,0,5,4229.14209,2.010638714,2168.462891,-5.394115448,-2291.611084,right start,,1,1357507,22:37.5,0,118.99632263183594,0,0,5,4196,-2.523561716,2144.321533203125,-6.623281956,-2273.249023,end
1,1359907,22:39.9,0,118.44353485107422,0.070588239,0,5,4180,-3.863044739,2084.601318359375,-9.828445435,-2221.529053,left start,,1,1360944,22:40.9,0,117.86392211914062,0,0,5,4156,3.8276002407073975,2060.118408203125,-11.2081356,-2197.851807,end
1,1364216,22:44.2,0,114.57759094238281,0,0,5,4040,-1.171171904,1980.060059,-15.4976759,-2129.123291,right start,,1,1365183,22:45.2,0,113.68682098388672,0,0,5,4008,-3.758826733,1955.7098388671875,-16.73225784,-2110.530029,end
